TomH	13:54 3/1/2020	152
Jim	02:39 09/39/2020	134
TomH	02:40 09/40/2020	137
TomH	02:41 09/41/2020	118
Jim	02:41 09/41/2020	130
TomH	02:41 09/41/2020	86
ak	02:42 09/42/2020	136
TomH	02:42 09/42/2020	108
Jim	09:54 09/54/2020	161
Lana	09:54 09/54/2020	144
Mike	09:54 09/54/2020	135
Mike	12:48 09/48/2020	123
Lana	12:48 09/48/2020	137
Jim	12:48 09/48/2020	100
Mike	12:48 09/48/2020	137
Lana	12:49 09/49/2020	188
Jim	12:49 09/49/2020	115
Jim	02:13 09/13/2020	104
Jim	02:38 09/38/2020	135
Jim	02:43 09/43/2020	168
Mike	02:45 09/45/2020	111
Jim	10:14 09/14/2020	96
